@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
58,4,2,2,2,2,1,1,1,1,2,2,2,2,2,2,3,1,1,1,1
48,4,3,2,9,2,4,9,1,1,2,2,1,1,1,1,4,1,1,3,2
62,4,2,2,3,11,5,6,2,2,2,2,1,1,1,1,3,2,2,2,2
44,4,2,2,9,8,1,1,2,2,2,1,1,1,1,1,4,1,1,1,1
26,2,2,2,2,2,3,1,1,1,2,1,2,2,1,1,2,2,2,2,2
59,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,3,1,2,2,1
74,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,1,1,3,1,1
51,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,3,2,2,2,1
76,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,2,2,2,2
52,2,1,2,1,11,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
74,1,1,2,9,2,5,6,1,1,2,1,1,1,1,1,2,2,2,3,2
87,3,1,1,10,10,5,9,2,2,2,2,1,1,1,1,2,2,2,2,1
56,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,2,2,1
32,2,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
38,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,2,1,1,1,2
82,3,1,2,1,11,5,6,2,2,2,2,1,1,1,1,1,2,2,2,2
61,2,1,2,3,2,3,9,2,2,2,1,1,1,1,1,3,2,2,2,1
49,2,3,2,9,11,3,9,2,2,2,2,1,1,1,1,4,2,2,2,1
50,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,3,1,1,1,1
66,3,1,2,2,2,4,4,1,1,2,1,1,1,1,1,2,1,2,2,1
36,4,2,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
37,4,2,2,2,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
48,1,1,2,9,2,2,1,1,1,2,1,3,2,3,3,3,2,2,2,1
79,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
70,4,3,2,6,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
57,2,2,2,2,11,5,6,2,2,2,2,1,1,1,1,3,1,1,3,1
59,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1
48,2,3,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1
54,2,3,2,9,11,3,9,2,2,2,1,1,1,1,1,4,2,3,2,1
47,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,3,1,1,1,2
70,3,1,1,10,10,5,9,2,2,2,2,1,1,1,1,2,2,2,1,1
51,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,1,1,1,1,2
42,4,3,2,9,11,5,6,2,2,2,1,1,1,1,1,4,1,3,2,2
64,4,2,2,3,2,5,6,2,2,2,2,1,1,1,1,2,2,2,2,2
56,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,1,1,2
59,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1
45,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,1,2,1,2
46,4,2,2,1,2,4,1,1,1,2,2,2,2,3,3,2,1,1,1,1
28,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,3,2,2,2,1
42,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,3,3,3,1
39,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,3,1,1,3,1
44,1,1,2,3,2,2,1,1,1,2,1,3,2,3,3,3,1,1,1,1
52,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
69,3,1,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1
29,2,2,1,9,10,1,3,2,2,2,2,1,1,1,1,2,2,2,3,1
30,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,1,1,3,2
58,4,3,2,1,2,2,3,1,1,2,1,2,3,3,3,3,1,2,3,1
60,4,2,2,1,2,5,6,2,2,2,2,1,1,1,1,4,1,1,3,2
52,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,2,1,1
77,2,2,2,2,2,5,6,1,1,2,1,2,2,1,1,1,2,2,2,2
53,2,3,2,4,2,4,8,1,1,2,1,1,1,1,1,2,2,2,2,1
24,2,3,2,4,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
54,4,2,2,3,2,5,6,2,2,2,1,1,1,1,1,4,1,3,3,1
63,1,1,2,9,11,3,9,2,2,2,1,1,1,1,1,4,2,2,2,2
47,2,1,2,2,2,1,9,2,2,2,1,1,1,1,1,3,2,2,2,1
58,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,1,1,1
64,2,2,2,9,2,5,6,2,2,2,2,1,1,1,1,3,2,2,2,1
48,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,2,2,2,1,2
65,1,1,2,9,2,1,1,2,2,2,1,1,1,1,1,1,2,2,2,1
59,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
59,2,3,2,9,2,2,9,2,2,2,1,1,1,1,1,4,3,3,3,1
40,2,1,2,1,2,5,6,2,2,2,2,1,1,1,1,2,1,1,2,1
47,4,2,2,9,11,5,9,1,1,2,2,1,1,1,1,4,1,1,1,2
60,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1
60,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
62,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
43,2,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,3,3,3,1
46,2,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,2,2,2,2
49,2,1,2,3,2,1,1,2,2,2,2,1,1,1,1,4,3,3,3,1
51,2,1,2,1,11,5,6,2,1,2,2,3,3,3,3,3,2,3,2,1
41,1,1,2,9,11,3,1,2,2,2,1,1,1,1,1,4,2,2,3,2
67,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,2,2,2,1
70,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
88,3,2,2,3,2,5,6,1,1,2,1,1,1,1,1,1,3,3,3,2
41,3,1,2,2,2,3,1,2,2,2,2,1,1,1,1,3,1,2,1,2
43,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,2,1,1,2,1
78,3,1,2,10,2,4,3,1,1,2,1,1,1,1,1,2,2,2,2,2
49,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
58,1,3,2,3,2,5,6,1,1,2,1,1,1,1,1,3,2,2,2,2
56,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
57,3,1,2,2,11,1,3,2,2,2,2,1,1,1,1,4,3,3,3,1
67,3,3,2,9,11,5,6,2,2,2,2,1,1,1,1,3,2,2,2,1
67,4,2,2,2,2,4,1,1,1,2,1,2,2,2,2,3,1,1,1,2
54,3,1,2,2,9,5,6,2,2,2,2,1,1,1,1,2,1,1,2,2
65,2,1,2,2,2,3,9,1,1,2,1,1,1,1,1,3,2,2,2,1
84,4,2,2,9,2,5,6,2,1,2,1,1,1,1,1,2,1,2,1,2
64,2,1,2,2,2,5,6,1,1,2,1,1,1,1,1,3,1,1,3,1
53,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,2,1,1,2,1
45,4,2,2,1,2,5,6,2,1,2,1,3,3,3,3,2,1,2,2,1
49,1,3,2,9,2,5,1,1,1,2,1,3,2,3,3,4,2,2,2,1
73,4,3,2,9,11,5,6,2,2,2,1,1,1,1,1,2,2,2,2,2
54,4,2,2,1,2,5,6,2,2,2,2,1,1,1,1,2,1,3,1,2
37,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,2,1,1,1,2
62,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
62,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
38,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,3,1,2,1,2
30,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,3,2,2,2,2
43,2,2,2,9,11,1,9,1,1,2,1,1,1,1,1,4,1,2,3,1
47,4,2,2,2,2,1,1,1,1,2,1,2,2,2,2,3,1,1,2,1
47,1,1,2,9,11,5,6,2,2,2,2,1,1,1,1,2,2,2,2,2
55,4,2,2,3,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
69,2,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,2,2,2,2
45,1,1,2,9,2,5,6,2,2,2,2,1,1,1,1,2,2,2,2,1
57,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,1
75,3,1,2,2,2,3,1,2,2,2,2,1,1,1,1,4,1,2,1,2
75,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,1,2,1,1
48,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,3,1,1,1,1
57,2,1,2,2,2,1,9,2,2,2,1,1,1,1,1,3,2,2,2,1
64,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,2,1,1,1,1
65,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,2,2,3,2,2
50,2,1,2,2,2,3,1,1,1,2,1,2,2,1,1,3,2,2,2,1
43,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,1,1,2
58,3,3,2,9,2,5,6,1,1,2,1,1,1,1,1,3,1,1,1,2
72,4,2,2,3,2,5,6,2,1,2,1,3,3,3,3,2,1,1,1,2
54,4,2,2,9,11,5,9,1,1,2,1,1,1,1,1,4,1,1,3,2
47,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,2,1,1,1,2
74,2,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,2,1,2
62,4,2,2,2,2,2,1,1,1,2,1,2,2,3,3,3,1,1,1,1
71,2,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
19,2,3,2,3,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
61,2,1,2,1,2,5,6,1,1,2,1,3,3,3,3,3,2,2,2,2
69,3,1,2,2,2,5,6,1,1,2,1,1,1,1,1,1,1,2,1,2
55,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,1,1,1
48,4,2,2,9,2,5,6,2,1,2,1,3,2,3,3,1,1,1,1,1
87,3,1,2,9,11,5,9,2,2,2,2,1,1,1,1,4,1,1,3,2
31,4,2,2,4,2,5,6,2,1,2,2,1,1,1,1,3,1,2,1,2
24,2,1,2,1,11,5,6,2,2,2,1,1,1,1,1,3,2,2,2,1
36,1,1,2,9,2,3,1,1,1,2,1,3,2,3,3,2,2,2,2,2
63,2,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,1,1,3,1
51,4,2,2,4,11,5,6,2,1,2,1,3,3,3,3,2,1,2,1,2
61,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,3,2,2,1,1
36,2,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
57,3,1,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,2
44,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,2
55,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,3,1,1,1,2
46,1,3,2,9,11,5,9,1,1,2,1,1,1,1,1,4,2,2,2,1
42,2,1,2,1,2,1,1,1,1,2,2,2,2,1,1,3,2,2,2,1
61,1,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
36,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2
37,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2
50,4,2,2,1,2,5,6,2,1,2,1,2,2,2,2,2,1,1,1,2
53,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,3,1,1,1,1
76,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,3,2,2,2,2
27,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,2,2,1,1
49,1,1,2,2,2,3,6,1,1,2,1,1,1,1,1,2,2,2,2,2
45,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,1,1,1,1,1
55,1,1,2,9,2,1,1,1,1,2,1,3,3,3,3,2,2,2,2,1
46,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
58,3,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,1,2,1,2
30,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1
33,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,3,2
42,4,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,1,1,3,2
71,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,1,1,1
66,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,3,1
35,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,3,2,2,2,1
63,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,3,1,1,1,1
49,2,2,1,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
54,4,2,2,2,2,4,1,2,2,2,2,1,1,1,1,3,1,1,1,1
45,2,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,1,2,2,2
45,4,2,2,3,2,5,6,2,1,2,1,3,3,3,3,3,1,1,1,2
36,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
66,2,2,2,2,2,1,1,1,1,2,2,2,2,1,1,3,2,2,2,2
48,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
54,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2
58,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,1,2,1
41,2,1,1,9,10,5,6,2,2,2,2,1,1,1,1,2,2,2,2,1
63,3,1,2,1,2,2,1,1,1,1,1,3,3,3,1,2,2,2,2,1
34,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,3,2,2,2,2
47,4,2,2,2,2,4,6,1,1,2,1,3,3,2,2,3,1,1,1,2
62,4,3,2,6,11,5,6,2,1,2,1,2,2,2,2,3,1,1,2,2
40,2,3,2,3,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2
40,4,2,2,2,2,4,3,1,1,2,1,2,2,3,3,3,2,1,1,1
50,4,2,2,2,2,5,6,2,2,2,1,1,1,1,1,1,1,1,1,2
50,4,2,2,2,2,5,6,2,2,2,1,1,1,1,1,1,1,1,1,2
50,4,2,2,2,6,5,6,2,2,2,1,1,1,1,1,1,1,1,1,2
52,1,1,2,9,2,5,6,2,2,2,2,1,1,1,1,2,2,2,3,2
49,3,1,2,3,2,4,3,1,1,2,1,2,2,1,1,2,2,2,1,2
57,1,3,2,9,11,5,6,2,2,2,1,1,1,1,1,4,2,2,3,2
38,4,2,2,3,2,5,6,2,2,2,2,1,1,1,1,3,1,2,1,2
38,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
54,4,3,2,9,11,5,6,2,1,2,1,1,1,1,1,4,3,3,3,2
59,4,2,2,1,11,5,6,2,2,2,2,1,1,1,1,1,1,1,1,2
60,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
52,1,3,2,9,2,1,9,2,2,2,2,1,1,1,1,4,2,2,2,1
45,4,2,2,1,2,5,6,2,2,2,2,1,1,1,1,2,1,1,1,2
33,2,2,2,2,2,5,6,2,2,2,2,1,1,1,1,3,2,2,3,1
71,1,1,2,9,2,3,1,1,1,2,1,1,1,1,1,3,2,2,2,1
51,2,1,2,2,2,3,1,1,1,2,1,1,1,1,1,3,2,2,2,1
48,1,1,2,3,2,3,3,1,1,2,1,3,2,3,3,4,2,2,2,1
32,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
72,4,2,2,1,2,5,6,1,1,2,1,3,2,3,3,3,1,1,1,2
68,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,3,3,3,1
52,1,1,2,2,2,5,1,1,1,2,1,3,2,3,3,2,2,2,2,1
57,2,1,2,2,2,3,1,1,1,2,2,2,2,1,1,3,2,2,2,1
77,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1
37,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,2,2,2,2,1
69,3,1,2,2,11,5,6,2,2,2,2,1,1,1,1,3,2,2,2,2
21,2,3,2,9,11,1,9,2,2,2,2,1,1,1,1,4,2,2,2,1
24,2,3,2,9,2,1,9,2,2,2,1,1,1,1,1,2,2,2,2,1
28,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,3,3,3,3,1
58,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,1,1,2
55,3,1,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,3,2
77,3,3,2,9,11,5,6,2,2,2,1,1,1,1,1,4,3,3,3,2
94,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
81,4,2,2,9,2,5,6,2,2,2,2,1,1,1,1,3,1,1,1,2
55,4,2,2,2,2,5,6,2,1,2,1,3,2,2,2,3,2,1,1,2
62,4,2,2,4,11,5,6,2,2,2,2,1,1,1,1,4,2,2,1,2
52,3,1,1,10,11,5,9,2,2,2,2,1,1,1,1,3,1,2,1,1
29,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,1,2,2,2
55,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,3,3,3,2
45,4,3,2,2,2,1,3,2,2,2,2,1,1,1,1,3,2,2,2,1
68,4,3,2,2,2,1,3,2,2,2,2,1,1,1,1,2,2,2,2,2
44,2,2,2,9,2,5,6,2,2,2,2,1,1,1,1,1,2,2,2,2
28,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,2,2,2,2,1
67,3,1,2,9,2,4,1,1,1,2,1,1,1,1,1,3,2,2,2,2
44,3,1,1,10,11,5,9,2,2,2,2,1,1,1,1,2,2,2,3,1
36,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
54,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1
49,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
63,1,1,2,3,2,5,1,2,2,2,1,1,1,1,1,3,2,2,2,1
48,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,1,1,2
47,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,2,1,2,1,1
39,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,3,2,2,1
38,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
49,4,2,2,2,2,1,1,1,1,2,1,2,2,2,2,3,1,1,1,1
60,2,1,2,9,8,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
75,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1
61,4,2,2,2,9,5,6,2,2,2,2,1,1,1,1,3,2,2,3,2
34,3,3,2,2,2,1,9,2,2,2,2,1,1,1,1,4,2,2,3,1
73,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
60,2,1,2,2,2,5,6,2,1,2,1,3,3,3,3,3,2,2,2,2
56,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,2,2,1
71,4,2,2,2,2,5,6,2,2,2,1,1,1,1,1,2,1,1,1,2
65,1,1,2,2,2,5,6,2,2,2,1,1,1,1,1,2,2,2,2,2
47,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,2,2,2,2,1
39,4,2,2,3,2,5,6,2,1,2,1,2,3,3,3,1,1,2,2,2
58,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1
52,1,1,1,3,2,1,1,1,1,2,1,2,2,2,2,3,2,2,2,1
82,3,1,1,10,11,5,9,2,2,2,2,1,1,1,1,3,2,2,2,1
81,3,1,2,3,2,3,1,2,2,2,1,1,1,1,1,3,2,2,2,1
56,1,1,2,2,2,1,1,1,1,2,1,3,2,3,3,4,2,2,2,1
23,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,1,3,3,3,1
63,4,2,2,9,11,5,6,2,1,2,2,1,1,1,1,4,1,1,2,2
56,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1
53,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,3,2,1,1,1
36,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
44,4,2,2,2,2,5,6,2,1,2,1,3,3,2,2,3,1,1,1,2
20,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
36,2,1,2,2,2,1,9,2,2,2,1,1,1,1,1,3,2,3,2,1
48,1,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
45,1,1,2,9,5,1,9,2,2,2,1,1,1,1,1,4,3,3,3,2
59,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
41,3,1,2,2,2,3,1,1,1,1,1,2,2,3,1,4,2,2,2,1
45,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,1
39,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,1,1
60,3,1,1,10,11,5,9,2,2,2,2,1,1,1,1,2,2,2,3,1
56,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
28,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,3,3,3,1
53,4,2,2,9,11,5,6,2,1,2,1,1,1,1,1,4,1,1,2,2
62,4,2,2,4,2,5,6,2,1,2,1,1,1,1,1,3,2,2,2,1
37,2,3,2,9,2,5,6,2,1,2,1,3,3,3,3,2,2,2,2,2
61,4,2,2,3,2,4,1,1,1,2,1,2,2,3,3,3,1,2,1,1
45,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,2,2,2,2,1
21,2,3,2,2,2,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
33,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
46,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,2,3,2,1
43,2,2,2,9,4,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
46,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,3,2,2,2,2
47,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,3,3,3,1
75,1,3,2,9,11,5,9,1,1,2,1,1,1,1,1,4,2,2,2,1
55,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
27,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,2
57,4,2,2,9,11,1,9,2,2,2,2,1,1,1,1,4,1,2,1,2
66,3,3,2,9,11,5,6,1,1,2,1,1,1,1,1,1,2,2,2,2
37,4,2,2,4,11,5,6,2,1,2,1,3,3,3,3,1,2,2,2,2
54,4,2,2,9,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
54,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1
60,4,2,2,2,2,5,6,2,1,2,1,3,2,3,3,2,1,1,1,2
62,4,2,2,2,2,5,6,2,1,2,1,3,2,3,3,2,1,1,1,2
37,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,3,2
54,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,3,2,2,3,2
83,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,1,1
62,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
83,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,2,1
49,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
59,2,2,2,2,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,2
27,2,2,2,9,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,2
79,2,3,2,9,11,1,9,2,2,2,2,1,1,1,1,4,2,3,2,1
50,2,1,2,3,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
50,2,1,2,4,2,3,3,2,2,2,1,1,1,1,1,3,2,2,2,1
37,2,2,2,2,2,1,3,2,2,2,2,1,1,1,1,3,2,2,2,2
46,4,2,2,9,11,5,6,1,1,2,1,1,1,1,1,4,1,2,1,2
55,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,3,1,1,1,1
61,4,2,2,9,11,5,6,2,1,2,1,3,2,3,3,3,1,1,1,2
73,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,3,2,2,1,1
60,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,3,2,2,2,1
60,1,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,1,2,2,1
57,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,2
39,4,2,2,1,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1
54,2,1,2,2,11,5,6,2,1,2,1,2,2,1,1,3,2,2,2,1
35,4,2,2,3,2,4,1,1,1,2,1,2,2,3,3,2,1,1,1,1
59,2,1,2,3,2,5,6,1,1,2,1,2,2,2,2,3,2,2,2,2
44,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,3,2
44,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
56,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,1,2,2,2,2
40,2,1,2,3,2,1,1,1,1,2,1,2,2,1,1,3,2,2,2,1
53,4,2,2,3,2,1,1,1,1,2,1,2,2,3,3,3,1,1,2,1
47,1,3,2,3,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
47,1,3,2,9,11,5,9,1,1,2,1,1,1,1,1,4,3,3,3,1
46,4,3,2,9,11,5,6,2,2,2,1,1,1,1,1,4,2,2,2,1
68,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,3,1
38,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,3,2
61,4,2,2,3,2,5,6,2,1,2,1,3,2,3,3,3,1,1,2,2
41,1,1,2,2,11,5,6,2,2,2,2,1,1,1,1,3,2,2,2,2
63,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,2,3,3,3,2
47,2,2,1,9,10,1,3,2,2,2,2,1,1,1,1,2,2,2,3,2
47,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
44,2,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
27,2,1,2,1,11,5,6,2,2,2,1,1,1,1,1,3,2,2,3,1
44,2,2,2,9,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,1
60,4,2,2,4,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
56,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,1
63,2,3,2,4,2,1,1,1,1,2,1,2,2,1,1,3,2,2,2,1
50,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,3,1,1,2,2
71,3,1,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
