@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
49,2,3,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
61,3,1,1,10,10,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
80,1,1,2,9,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
56,2,1,2,2,2,3,9,2,2,2,1,1,1,1,1,2,2,2,2,1
55,3,1,2,2,11,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
56,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,3,2,1,1,1
52,4,2,2,4,2,5,6,2,2,2,2,1,1,1,1,4,1,2,1,2
66,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
60,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,3,3,3,3,2
55,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
62,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,4,1,2,3,1
77,3,2,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,1
57,4,2,2,4,11,5,6,2,1,2,1,3,2,2,2,4,2,2,2,1
56,2,1,2,2,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
58,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,1
51,2,1,2,2,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,1
76,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
75,3,1,2,2,2,4,6,1,1,2,1,2,2,3,1,2,1,2,2,2
31,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,3,2,2,2,2
50,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1
59,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,3,2,2,2,1
46,2,3,2,2,2,5,1,1,1,1,1,3,3,3,3,3,2,3,2,2
48,1,1,2,2,2,1,9,2,2,2,1,1,1,1,1,4,3,3,3,1
59,2,1,2,3,2,3,4,1,1,2,1,2,2,1,1,2,2,2,2,1
64,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
49,2,1,2,4,2,3,9,2,2,2,1,1,1,1,1,2,2,3,2,1
78,4,2,2,3,2,4,1,2,2,2,2,1,1,1,1,3,2,2,2,1
78,4,2,2,3,2,4,1,2,2,2,2,1,1,1,1,3,2,2,2,1
70,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
55,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,2
54,3,1,1,10,11,5,9,2,2,2,2,1,1,1,1,2,2,2,3,1
80,3,1,2,1,2,4,6,1,1,2,1,1,1,1,1,1,2,2,2,2
76,3,1,2,2,2,2,3,2,2,2,1,1,1,1,1,4,2,2,2,1
63,1,1,2,2,2,1,3,1,1,2,2,1,1,1,1,3,2,2,2,1
58,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
50,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
61,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
68,3,1,2,9,2,1,1,2,2,2,2,1,1,1,1,3,1,2,1,1
66,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,4,2,2,3,1
56,1,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
57,3,1,2,3,2,3,1,2,2,2,1,1,1,1,1,3,2,2,1,1
56,4,2,2,2,2,5,6,2,2,2,2,1,1,1,1,4,1,1,1,2
47,4,2,2,2,2,2,1,1,1,2,2,2,3,3,3,4,2,2,2,1
56,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,3,1
58,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
69,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2
51,2,3,2,4,11,5,1,1,1,2,2,3,3,1,1,4,2,2,2,1
50,1,1,1,3,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
72,3,1,2,2,2,4,1,2,2,2,1,1,1,1,1,4,2,2,2,2
66,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,3,1,2,1,1
75,3,1,2,2,11,1,1,2,2,2,2,1,1,1,1,3,1,2,1,1
64,1,1,2,3,2,2,1,1,1,2,1,2,2,2,2,1,2,2,2,1
57,4,2,2,4,2,5,6,2,1,2,1,3,3,3,3,3,1,1,1,2
62,1,1,2,2,6,2,1,1,1,2,1,3,2,3,3,2,2,2,2,1
79,1,1,2,9,2,5,6,2,2,2,1,1,1,1,1,4,2,2,2,2
51,1,3,2,9,6,1,9,2,2,2,2,1,1,1,1,4,3,3,3,1
74,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
54,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
49,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
52,4,2,2,2,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,2
62,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,3,1,1,1,1
78,4,2,2,9,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
71,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2
62,1,3,2,9,2,2,9,2,2,2,1,1,1,1,1,4,3,3,3,1
49,1,1,1,9,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
52,4,2,2,3,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
55,4,2,2,1,2,5,6,2,1,2,1,3,3,2,2,2,1,1,1,2
57,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
60,3,1,2,1,11,1,5,2,2,2,2,1,1,1,1,3,2,2,3,1
68,3,1,2,2,11,5,6,1,1,2,1,1,1,1,1,3,2,2,2,2
45,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
50,1,1,2,9,2,3,9,2,2,2,1,1,1,1,1,4,2,2,2,2
77,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1
58,2,1,2,9,11,5,9,2,2,2,1,1,1,1,1,2,2,2,2,1
60,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,4,2,2,2,2
77,1,3,2,1,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
59,4,2,2,3,2,1,1,1,1,2,2,2,2,2,2,3,2,2,1,1
52,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,2
68,2,1,2,2,2,3,1,2,2,2,2,1,1,1,1,4,2,2,2,1
49,2,3,2,4,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
73,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
63,4,3,2,9,11,5,6,2,2,2,2,1,1,1,1,4,1,3,1,2
46,4,2,2,2,2,2,1,1,1,2,1,2,2,3,3,3,1,1,1,1
73,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,3,2,3,2,1
60,2,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,2,2,2,2
57,3,1,2,1,11,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
78,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
57,3,1,1,1,2,1,1,2,2,2,2,1,1,1,1,4,3,3,3,1
77,3,1,2,1,11,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
48,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,1
52,2,2,2,2,2,5,6,2,2,2,2,1,1,1,1,3,2,2,1,2
59,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,2,2,1,1
63,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,1,1,2
63,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
42,1,1,2,2,2,5,9,2,2,2,1,1,1,1,1,4,2,2,2,2
55,1,1,2,3,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
52,1,3,2,3,2,3,1,1,1,2,1,3,3,2,2,2,2,2,2,1
77,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,1,1
51,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
77,3,1,2,3,2,3,3,2,2,2,1,1,1,1,1,4,2,2,2,2
