@relation RNUM
@attribute F1 numeric
@attribute F6 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute class {1,2}
@data
39,2,1,1,1,1,2,1
64,10,1,1,1,1,4,1
64,10,1,1,1,1,4,1
45,2,2,3,2,2,2,1
73,2,1,1,1,1,4,2
81,2,1,1,1,1,2,1
59,2,1,1,1,1,2,2
57,2,2,3,3,3,4,1
43,2,2,2,1,1,2,2
48,2,1,1,1,1,3,2
44,2,1,1,1,1,4,1
50,2,1,1,1,1,2,1
50,2,1,1,1,1,2,1
64,2,2,2,2,2,2,1
83,11,1,1,1,1,4,2
83,11,1,1,1,1,4,2
48,2,2,2,3,3,2,1
44,10,1,1,1,1,4,1
44,2,2,2,2,3,4,1
47,2,1,1,1,1,2,1
59,2,1,1,1,1,3,1
65,2,1,1,1,1,4,2
73,2,1,1,1,1,3,1
54,2,1,1,1,1,4,1
58,11,1,1,1,1,4,1
76,2,1,1,1,1,3,2
44,11,1,1,1,1,4,2
59,11,1,1,1,1,4,2
60,2,1,1,1,1,2,1
77,2,1,1,1,1,2,2
62,2,1,1,1,1,1,1
53,2,1,1,1,1,2,2
59,2,1,1,1,1,4,1
62,11,1,1,1,1,4,1
64,2,1,1,1,1,3,1
40,2,2,2,2,2,3,1
55,2,3,3,1,1,4,2
55,11,1,1,1,1,4,1
56,10,1,1,1,1,2,1
55,10,1,1,1,1,4,1
51,11,1,1,1,1,3,2
51,2,2,2,1,1,4,1
41,2,1,1,1,1,2,1
65,11,3,3,2,2,4,2
69,2,1,1,1,1,4,1
48,2,1,1,1,1,4,2
48,2,3,3,2,2,3,1
62,2,3,3,3,3,2,2
78,2,1,1,1,1,3,2
51,2,1,1,1,1,2,1
50,2,1,1,1,1,3,1
42,2,1,1,1,1,3,1
66,2,1,1,1,1,4,2
66,2,1,1,1,1,4,2
51,2,1,1,1,1,4,2
71,2,1,1,1,1,4,2
53,2,3,3,2,2,2,2
64,2,1,1,1,1,4,2
45,2,1,1,1,1,3,1
54,2,1,1,1,1,4,1
65,10,1,1,1,1,3,1
53,11,3,2,2,2,4,2
40,2,1,1,1,1,4,1
40,2,1,1,1,1,4,1
57,2,2,2,2,2,3,1
58,2,1,1,1,1,2,1
46,2,1,1,1,1,3,2
57,2,1,1,1,1,3,1
52,2,1,1,1,1,3,1
71,11,1,1,1,1,4,2
70,11,2,3,3,3,3,1
50,2,1,1,1,1,3,1
53,2,3,3,3,3,4,1
86,2,1,1,1,1,4,1
43,2,1,1,1,1,2,2
66,2,2,2,1,1,4,2
53,2,3,3,2,2,3,1
49,11,1,1,1,1,1,1
50,2,1,1,1,1,2,2
59,2,3,3,2,2,3,1
41,2,1,1,1,1,3,2
83,2,3,3,3,3,2,2
52,11,1,1,1,1,4,2
66,11,1,1,1,1,4,1
58,10,1,1,1,1,3,1
58,11,1,1,1,1,3,1
